[0.019s] Invoking command in '/home/wilsonlo/dev_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/wilsonlo/dev_ws/install/serial_motor_demo:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/wilsonlo/dev_ws/build/articubot_one -- -j8 -l8
[0.224s] Invoked command in '/home/wilsonlo/dev_ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/wilsonlo/dev_ws/install/serial_motor_demo:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/wilsonlo/dev_ws/build/articubot_one -- -j8 -l8
[0.242s] Invoking command in '/home/wilsonlo/dev_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/wilsonlo/dev_ws/install/serial_motor_demo:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/wilsonlo/dev_ws/build/articubot_one
[0.258s] -- Install configuration: ""
[0.263s] -- Execute custom install script
[0.272s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml
[0.272s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml
[0.273s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/drive_bot.rviz
[0.273s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/empty.yaml
[0.276s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml
[0.277s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/gz_bridge.yaml
[0.277s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/joystick.yaml
[0.278s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/main.rviz
[0.278s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/map.rviz
[0.281s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml
[0.283s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/my_controllers.yaml
[0.288s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/nav2_params.yaml
[0.289s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/twist_mux.yaml
[0.289s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/config/view_bot.rviz
[0.290s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/camera.xacro
[0.290s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/depth_camera.xacro
[0.291s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/face.xacro
[0.292s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/gazebo_control.xacro
[0.293s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/inertial_macros.xacro
[0.294s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/robot.urdf.xacro
[0.296s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/robot_core.xacro
[0.297s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/description/ros2_control.xacro
[0.298s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/ball_tracker.launch.py
[0.299s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/camera.launch.py
[0.299s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/joystick.launch.py
[0.301s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/launch_robot.launch.py
[0.301s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/launch_sim.launch.py
[0.302s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/localization_launch.py
[0.302s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/navigation_launch.py
[0.303s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/online_async_launch.py
[0.303s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/rplidar.launch.py
[0.305s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/launch/rsp.launch.py
[0.305s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/worlds/empty.world
[0.307s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/worlds/obstacles.world
[0.307s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/ament_index/resource_index/package_run_dependencies/articubot_one
[0.308s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/ament_index/resource_index/parent_prefix_path/articubot_one
[0.308s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh
[0.309s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv
[0.310s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/environment/path.sh
[0.311s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/environment/path.dsv
[0.312s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/local_setup.bash
[0.313s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/local_setup.sh
[0.314s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/local_setup.zsh
[0.315s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/local_setup.dsv
[0.316s] -- Symlinking: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/package.dsv
[0.329s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/ament_index/resource_index/packages/articubot_one
[0.329s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig.cmake
[0.330s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig-version.cmake
[0.331s] -- Up-to-date symlink: /home/wilsonlo/dev_ws/install/articubot_one/share/articubot_one/package.xml
[0.398s] Invoked command in '/home/wilsonlo/dev_ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/wilsonlo/dev_ws/install/serial_motor_demo:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/wilsonlo/dev_ws/build/articubot_one
